iter	Passed	Remaining
1119	37066	62218
1120	37103	62191
1121	37136	62159
1122	37175	62135
1123	37210	62104
1124	37249	62083
1125	37292	62066
1126	37331	62042
1127	37369	62017
1128	37408	61994
1129	37441	61960
1130	37499	61968
1131	37560	61981
1132	37628	62005
1133	37688	62016
1134	37747	62025
1135	37828	62070
1136	37891	62085
1137	37943	62083
1138	37986	62066
1139	38042	62068
1140	38098	62073
1141	38225	62191
1142	38309	62240
1143	38386	62277
1144	38427	62255
1145	38477	62248
1146	38537	62257
1147	38576	62232
1148	38607	62195
1149	38643	62165
1150	38707	62181
1151	38741	62148
1152	38776	62116
1153	38813	62088
1154	38853	62064
1155	38888	62032
1156	38923	62001
1157	38963	61978
1158	39003	61954
1159	39040	61926
1160	39078	61900
1161	39113	61868
1162	39150	61839
1163	39182	61804
1164	39218	61773
1165	39263	61757
1166	39330	61775
1167	39373	61756
1168	39425	61752
1169	39468	61732
1170	39506	61705
1171	39548	61685
1172	39594	61670
1173	39629	61639
1174	39662	61604
1175	39704	61583
1176	39753	61573
1177	39799	61557
1178	39845	61542
1179	39900	61541
1180	39941	61518
1181	39984	61498
1182	40020	61469
1183	40060	61444
1184	40109	61434
1185	40151	61412
1186	40163	61344
1187	40201	61318
1188	40254	61313
1189	40308	61309
1190	40349	61286
1191	40388	61260
1192	40436	61248
1193	40468	61211
1194	40503	61179
1195	40537	61144
1196	40570	61109
1197	40603	61075
1198	40645	61053
1199	40676	61014
1200	40709	60980
1201	40737	60936
1202	40767	60896
1203	40801	60863
1204	40835	60829
1205	40867	60793
1206	40901	60758
1207	40932	60721
1208	40964	60683
1209	40993	60643
1210	41025	60607
1211	41059	60573
1212	41089	60533
1213	41118	60492
1214	41146	60449
1215	41174	60406
1216	41208	60373
1217	41247	60347
1218	41291	60328
1219	41328	60299
1220	41364	60267
1221	41405	60244
1222	41456	60236
1223	41501	60217
1224	41544	60196
1225	41575	60158
1226	41607	60122
1227	41640	60087
1228	41675	60054
1229	41709	60020
1230	41756	60005
1231	41793	59976
1232	41830	59947
1233	41869	59920
1234	41902	59885
1235	41932	59845
1236	41958	59800
1237	41985	59756
1238	42010	59710
1239	42037	59665
1240	42066	59625
1241	42092	59579
1242	42117	59533
1243	42143	59488
1244	42169	59443
1245	42196	59400
1246	42220	59352
1247	42249	59312
1248	42278	59270
1249	42303	59224
1250	42335	59188
1251	42366	59151
1252	42396	59112
1253	42427	59073
1254	42460	59038
1255	42501	59014
1256	42546	58996
1257	42589	58975
1258	42623	58941
1259	42663	58916
1260	42704	58892
1261	42744	58866
1262	42780	58835
1263	42811	58798
1264	42849	58769
1265	42882	58735
1266	42910	58693
1267	42943	58658
1268	42978	58625
1269	43017	58598
1270	43049	58562
1271	43085	58531
1272	43120	58499
1273	43159	58471
1274	43194	58440
1275	43232	58410
1276	43271	58384
1277	43304	58348
1278	43334	58310
1279	43368	58276
1280	43405	58247
1281	43441	58215
1282	43481	58190
1283	43516	58157
1284	43547	58119
1285	43583	58088
1286	43620	58059
1287	43653	58023
1288	43686	57988
1289	43720	57955
1290	43753	57920
1291	43786	57884
1292	43817	57847
1293	43853	57816
1294	43884	57778
1295	43912	57736
1296	43939	57694
1297	43964	57648
1298	43992	57607
1299	44028	57575
1300	44058	57536
1301	44084	57492
1302	44116	57456
1303	44160	57435
1304	44193	57400
1305	44234	57376
1306	44276	57353
1307	44314	57323
1308	44353	57296
1309	44383	57257
1310	44413	57219
1311	44447	57185
1312	44483	57154
1313	44511	57112
1314	44544	57077
1315	44576	57041
1316	44607	57003
1317	44633	56960
1318	44664	56922
1319	44691	56879
1320	44721	56841
1321	44749	56800
1322	44780	56762
1323	44807	56720
1324	44839	56683
1325	44866	56641
1326	44899	56606
1327	44927	56564
1328	44955	56524
1329	44991	56493
1330	45022	56455
1331	45051	56416
1332	45084	56380
1333	45116	56344
1334	45143	56302
1335	45170	56260
1336	45196	56217
1337	45229	56181
1338	45261	56145
1339	45291	56106
1340	45325	56073
1341	45360	56041
1342	45395	56009
1343	45432	55979
1344	45463	55942
1345	45495	55906
1346	45532	55875
1347	45567	55843
1348	45604	55814
1349	45639	55781
1350	45676	55752
1351	45711	55718
1352	45746	55687
1353	45780	55653
1354	45820	55627
1355	45858	55598
1356	45889	55561
1357	45919	55522
1358	45954	55490
1359	45983	55451
1360	46014	55413
1361	46048	55379
1362	46088	55353
1363	46118	55315
1364	46153	55283
1365	46185	55246
1366	46219	55213
1367	46250	55176
1368	46291	55150
1369	46340	55135
1370	46385	55114
1371	46433	55097
1372	46486	55085
1373	46524	55057
1374	46564	55031
1375	46606	55005
1376	46650	54985
1377	46698	54967
1378	46761	54967
1379	46811	54952
1380	46859	54934
1381	46916	54928
